algorithm,project,bug,detected,check_tests
DYNAMOSA,cookiecutter,4,?,test_exceptions.py
RANDOM,cookiecutter,4,?,test_exceptions.py
DYNAMOSA,fastapi,1,?,test_utils.py
RANDOM,fastapi,1,?,test_utils.py
MIO,fastapi,1,?,test_utils.py
WHOLE_SUITE,fastapi,1,?,test_utils.py
DYNAMOSA,fastapi,4,?,test_utils.py
RANDOM,fastapi,4,?,test_utils.py
MIO,fastapi,4,?,test_utils.py
WHOLE_SUITE,fastapi,4,?,test_utils.py
DYNAMOSA,fastapi,5,?,test_utils.py
RANDOM,fastapi,5,?,test_utils.py
MIO,fastapi,5,?,test_utils.py
WHOLE_SUITE,fastapi,5,?,test_utils.py
DYNAMOSA,fastapi,6,?,test_utils.py
RANDOM,fastapi,6,?,test_utils.py
MIO,fastapi,6,?,test_utils.py
WHOLE_SUITE,fastapi,6,?,test_utils.py
DYNAMOSA,fastapi,9,?,test_utils.py
RANDOM,fastapi,9,?,test_utils.py
MIO,fastapi,9,?,test_utils.py
WHOLE_SUITE,fastapi,9,?,test_utils.py
DYNAMOSA,fastapi,11,?,test_utils.py
RANDOM,fastapi,11,?,test_utils.py
MIO,fastapi,11,?,test_utils.py
WHOLE_SUITE,fastapi,11,?,test_utils.py
DYNAMOSA,PySnooper,1,?,test_utils.py
RANDOM,PySnooper,1,?,test_utils.py
MIO,PySnooper,1,?,test_utils.py
WHOLE_SUITE,PySnooper,1,?,test_utils.py
DYNAMOSA,scrapy,2,?,test_datatypes.py
MIO,scrapy,2,?,test_datatypes.py
WHOLE_SUITE,scrapy,2,?,test_datatypes.py
DYNAMOSA,scrapy,11,?,test_gz.py
MIO,scrapy,11,?,test_gz.py
WHOLE_SUITE,scrapy,11,?,test_gz.py
DYNAMOSA,scrapy,14,?,test_gz.py
MIO,scrapy,14,?,test_gz.py
WHOLE_SUITE,scrapy,14,?,test_gz.py
DYNAMOSA,scrapy,33,?,test_engine.py
RANDOM,scrapy,33,?,test_engine.py
MIO,scrapy,33,?,test_engine.py
WHOLE_SUITE,scrapy,33,?,test_engine.py
DYNAMOSA,thefuck,1,?,test_pip_unknown_command.py
RANDOM,thefuck,1,?,test_pip_unknown_command.py
MIO,thefuck,1,?,test_pip_unknown_command.py
WHOLE_SUITE,thefuck,1,?,test_pip_unknown_command.py
DYNAMOSA,thefuck,5,?,test_git_push.py
RANDOM,thefuck,5,?,test_git_push.py
MIO,thefuck,5,?,test_git_push.py
WHOLE_SUITE,thefuck,5,?,test_git_push.py
DYNAMOSA,thefuck,9,?,test_git_push.py
RANDOM,thefuck,9,?,test_git_push.py
MIO,thefuck,9,?,test_git_push.py
WHOLE_SUITE,thefuck,9,?,test_git_push.py
DYNAMOSA,thefuck,10,?,test_man.py
RANDOM,thefuck,10,?,test_man.py
MIO,thefuck,10,?,test_man.py
WHOLE_SUITE,thefuck,10,?,test_man.py
DYNAMOSA,thefuck,11,?,test_git_push.py
RANDOM,thefuck,11,?,test_git_push.py
MIO,thefuck,11,?,test_git_push.py
WHOLE_SUITE,thefuck,11,?,test_git_push.py
DYNAMOSA,thefuck,18,?,test_sudo.py
RANDOM,thefuck,18,?,test_sudo.py
MIO,thefuck,18,?,test_sudo.py
WHOLE_SUITE,thefuck,18,?,test_sudo.py
DYNAMOSA,thefuck,27,?,test_open.py
RANDOM,thefuck,27,?,test_open.py
MIO,thefuck,27,?,test_open.py
WHOLE_SUITE,thefuck,27,?,test_open.py
DYNAMOSA,thefuck,31,?,test_git_diff_staged.py
RANDOM,thefuck,31,?,test_git_diff_staged.py
MIO,thefuck,31,?,test_git_diff_staged.py
WHOLE_SUITE,thefuck,31,?,test_git_diff_staged.py
DYNAMOSA,thefuck,32,?,test_ls_lah.py
RANDOM,thefuck,32,?,test_ls_lah.py
MIO,thefuck,32,?,test_ls_lah.py
WHOLE_SUITE,thefuck,32,?,test_ls_lah.py
DYNAMOSA,tqdm,3,?,test__tqdm.py
MIO,tqdm,3,?,test__tqdm.py
DYNAMOSA,tqdm,4,?,test__tqdm.py
MIO,tqdm,4,?,test__tqdm.py
DYNAMOSA,tqdm,5,?,test__tqdm.py
MIO,tqdm,5,?,test__tqdm.py
DYNAMOSA,tqdm,6,?,test__tqdm.py
MIO,tqdm,6,?,test__tqdm.py
DYNAMOSA,tqdm,8,?,test__tqdm.py
MIO,tqdm,8,?,test__tqdm.py
DYNAMOSA,tqdm,9,?,test__tqdm.py
MIO,tqdm,9,?,test__tqdm.py
