algorithm,project,bug,detected,check_tests
DYNAMOSA,ansible,1,0,""
DYNAMOSA,ansible,10,0,""
DYNAMOSA,ansible,11,0,""
DYNAMOSA,ansible,12,0,""
DYNAMOSA,ansible,13,0,""
DYNAMOSA,ansible,14,0,""
DYNAMOSA,ansible,15,0,""
DYNAMOSA,ansible,16,0,""
DYNAMOSA,ansible,17,0,""
DYNAMOSA,ansible,18,0,""
DYNAMOSA,ansible,2,0,""
DYNAMOSA,ansible,3,0,""
DYNAMOSA,ansible,4,0,""
DYNAMOSA,ansible,5,0,""
DYNAMOSA,ansible,6,0,""
DYNAMOSA,ansible,7,0,""
DYNAMOSA,ansible,8,0,""
DYNAMOSA,ansible,9,0,""
DYNAMOSA,black,1,0,""
DYNAMOSA,black,10,0,""
DYNAMOSA,black,11,0,""
DYNAMOSA,black,12,0,""
DYNAMOSA,black,13,0,""
DYNAMOSA,black,14,0,""
DYNAMOSA,black,15,0,""
DYNAMOSA,black,16,0,""
DYNAMOSA,black,17,0,""
DYNAMOSA,black,18,0,""
DYNAMOSA,black,19,0,""
DYNAMOSA,black,2,0,""
DYNAMOSA,black,20,0,""
DYNAMOSA,black,21,0,""
DYNAMOSA,black,22,0,""
DYNAMOSA,black,23,0,""
DYNAMOSA,black,3,0,""
DYNAMOSA,black,4,0,""
DYNAMOSA,black,5,0,""
DYNAMOSA,black,6,0,""
DYNAMOSA,black,7,0,""
DYNAMOSA,black,8,0,""
DYNAMOSA,black,9,0,""
DYNAMOSA,cookiecutter,1,0,""
DYNAMOSA,cookiecutter,2,0,""
DYNAMOSA,cookiecutter,3,0,""
DYNAMOSA,cookiecutter,4,?," test_exceptions.py"
DYNAMOSA,fastapi,1,?," test_utils.py"
DYNAMOSA,fastapi,10,0,""
DYNAMOSA,fastapi,11,?," test_utils.py"
DYNAMOSA,fastapi,12,0,""
DYNAMOSA,fastapi,13,0,""
DYNAMOSA,fastapi,14,0,""
DYNAMOSA,fastapi,15,0,""
DYNAMOSA,fastapi,16,0,""
DYNAMOSA,fastapi,2,0,""
DYNAMOSA,fastapi,3,0,""
DYNAMOSA,fastapi,4,?," test_utils.py"
DYNAMOSA,fastapi,5,?," test_utils.py"
DYNAMOSA,fastapi,6,?," test_utils.py"
DYNAMOSA,fastapi,7,0,""
DYNAMOSA,fastapi,8,0,""
DYNAMOSA,fastapi,9,?," test_utils.py"
DYNAMOSA,httpie,1,0,""
DYNAMOSA,httpie,2,0,""
DYNAMOSA,httpie,3,0,""
DYNAMOSA,httpie,4,0,""
DYNAMOSA,httpie,5,0,""
DYNAMOSA,keras,1,0,""
DYNAMOSA,keras,10,0,""
DYNAMOSA,keras,11,0,""
DYNAMOSA,keras,12,0,""
DYNAMOSA,keras,13,0,""
DYNAMOSA,keras,14,0,""
DYNAMOSA,keras,15,0,""
DYNAMOSA,keras,16,0,""
DYNAMOSA,keras,17,0,""
DYNAMOSA,keras,18,0,""
DYNAMOSA,keras,19,0,""
DYNAMOSA,keras,2,0,""
DYNAMOSA,keras,20,0,""
DYNAMOSA,keras,21,0,""
DYNAMOSA,keras,22,0,""
DYNAMOSA,keras,23,0,""
DYNAMOSA,keras,24,0,""
DYNAMOSA,keras,25,0,""
DYNAMOSA,keras,26,0,""
DYNAMOSA,keras,27,0,""
DYNAMOSA,keras,28,0,""
DYNAMOSA,keras,29,0,""
DYNAMOSA,keras,3,0,""
DYNAMOSA,keras,30,0,""
DYNAMOSA,keras,31,0,""
DYNAMOSA,keras,32,0,""
DYNAMOSA,keras,33,0,""
DYNAMOSA,keras,34,0,""
DYNAMOSA,keras,35,0,""
DYNAMOSA,keras,36,0,""
DYNAMOSA,keras,37,0,""
DYNAMOSA,keras,38,0,""
DYNAMOSA,keras,39,0,""
DYNAMOSA,keras,4,0,""
DYNAMOSA,keras,40,0,""
DYNAMOSA,keras,41,0,""
DYNAMOSA,keras,42,0,""
DYNAMOSA,keras,43,0,""
DYNAMOSA,keras,44,0,""
DYNAMOSA,keras,45,0,""
DYNAMOSA,keras,5,0,""
DYNAMOSA,keras,6,0,""
DYNAMOSA,keras,7,0,""
DYNAMOSA,keras,8,0,""
DYNAMOSA,keras,9,0,""
DYNAMOSA,luigi,1,0,""
DYNAMOSA,luigi,10,0,""
DYNAMOSA,luigi,11,0,""
DYNAMOSA,luigi,12,0,""
DYNAMOSA,luigi,13,0,""
DYNAMOSA,luigi,14,0,""
DYNAMOSA,luigi,15,0,""
DYNAMOSA,luigi,16,0,""
DYNAMOSA,luigi,17,0,""
DYNAMOSA,luigi,18,0,""
DYNAMOSA,luigi,19,0,""
DYNAMOSA,luigi,2,0,""
DYNAMOSA,luigi,20,0,""
DYNAMOSA,luigi,21,0,""
DYNAMOSA,luigi,22,0,""
DYNAMOSA,luigi,23,0,""
DYNAMOSA,luigi,24,0,""
DYNAMOSA,luigi,25,0,""
DYNAMOSA,luigi,26,0,""
DYNAMOSA,luigi,27,0,""
DYNAMOSA,luigi,28,0,""
DYNAMOSA,luigi,29,0,""
DYNAMOSA,luigi,3,0,""
DYNAMOSA,luigi,30,0,""
DYNAMOSA,luigi,31,0,""
DYNAMOSA,luigi,32,0,""
DYNAMOSA,luigi,33,0,""
DYNAMOSA,luigi,4,0,""
DYNAMOSA,luigi,5,0,""
DYNAMOSA,luigi,6,0,""
DYNAMOSA,luigi,7,0,""
DYNAMOSA,luigi,8,0,""
DYNAMOSA,luigi,9,0,""
DYNAMOSA,matplotlib,1,0,""
DYNAMOSA,matplotlib,10,0,""
DYNAMOSA,matplotlib,11,0,""
DYNAMOSA,matplotlib,12,0,""
DYNAMOSA,matplotlib,13,0,""
DYNAMOSA,matplotlib,14,0,""
DYNAMOSA,matplotlib,15,0,""
DYNAMOSA,matplotlib,16,0,""
DYNAMOSA,matplotlib,17,0,""
DYNAMOSA,matplotlib,18,0,""
DYNAMOSA,matplotlib,19,0,""
DYNAMOSA,matplotlib,2,0,""
DYNAMOSA,matplotlib,20,0,""
DYNAMOSA,matplotlib,21,0,""
DYNAMOSA,matplotlib,22,0,""
DYNAMOSA,matplotlib,23,0,""
DYNAMOSA,matplotlib,24,0,""
DYNAMOSA,matplotlib,25,0,""
DYNAMOSA,matplotlib,26,0,""
DYNAMOSA,matplotlib,27,0,""
DYNAMOSA,matplotlib,28,0,""
DYNAMOSA,matplotlib,29,0,""
DYNAMOSA,matplotlib,3,0,""
DYNAMOSA,matplotlib,30,0,""
DYNAMOSA,matplotlib,4,0,""
DYNAMOSA,matplotlib,5,0,""
DYNAMOSA,matplotlib,6,0,""
DYNAMOSA,matplotlib,7,0,""
DYNAMOSA,matplotlib,8,0,""
DYNAMOSA,matplotlib,9,0,""
DYNAMOSA,pandas,1,0,""
DYNAMOSA,pandas,10,0,""
DYNAMOSA,pandas,100,0,""
DYNAMOSA,pandas,101,0,""
DYNAMOSA,pandas,102,0,""
DYNAMOSA,pandas,103,0,""
DYNAMOSA,pandas,104,0,""
DYNAMOSA,pandas,105,0,""
DYNAMOSA,pandas,106,0,""
DYNAMOSA,pandas,107,0,""
DYNAMOSA,pandas,108,0,""
DYNAMOSA,pandas,109,0,""
DYNAMOSA,pandas,11,0,""
DYNAMOSA,pandas,110,0,""
DYNAMOSA,pandas,111,0,""
