algorithm,project,bug,detected,check_tests
MIO,ansible,1,0,""
MIO,ansible,10,0,""
MIO,ansible,11,0,""
MIO,ansible,12,0,""
MIO,ansible,13,0,""
MIO,ansible,14,0,""
MIO,ansible,15,0,""
MIO,ansible,16,0,""
MIO,ansible,17,0,""
MIO,ansible,18,0,""
MIO,ansible,2,0,""
MIO,ansible,3,0,""
MIO,ansible,4,0,""
MIO,ansible,5,0,""
MIO,ansible,6,0,""
MIO,ansible,7,0,""
MIO,ansible,8,0,""
MIO,ansible,9,0,""
MIO,black,1,0,""
MIO,black,10,0,""
MIO,black,11,0,""
MIO,black,12,0,""
MIO,black,13,0,""
MIO,black,14,0,""
MIO,black,15,0,""
MIO,black,16,0,""
MIO,black,17,0,""
MIO,black,18,0,""
MIO,black,19,0,""
MIO,black,2,0,""
MIO,black,20,0,""
MIO,black,21,0,""
MIO,black,22,0,""
MIO,black,23,0,""
MIO,black,3,0,""
MIO,black,4,0,""
MIO,black,5,0,""
MIO,black,6,0,""
MIO,black,7,0,""
MIO,black,8,0,""
MIO,black,9,0,""
MIO,cookiecutter,1,0,""
MIO,cookiecutter,2,0,""
MIO,cookiecutter,3,0,""
MIO,cookiecutter,4,0,""
MIO,fastapi,1,?," test_utils.py"
MIO,fastapi,10,0,""
MIO,fastapi,11,?," test_utils.py"
MIO,fastapi,12,0,""
MIO,fastapi,13,0,""
MIO,fastapi,14,0,""
MIO,fastapi,15,0,""
MIO,fastapi,16,0,""
MIO,fastapi,2,0,""
MIO,fastapi,3,0,""
MIO,fastapi,4,?," test_utils.py"
MIO,fastapi,5,?," test_utils.py"
MIO,fastapi,6,?," test_utils.py"
MIO,fastapi,7,0,""
MIO,fastapi,8,0,""
MIO,fastapi,9,?," test_utils.py"
MIO,httpie,1,0,""
MIO,httpie,2,0,""
MIO,httpie,3,0,""
MIO,httpie,4,0,""
MIO,httpie,5,0,""
MIO,keras,1,0,""
MIO,keras,10,0,""
MIO,keras,11,0,""
MIO,keras,12,0,""
MIO,keras,13,0,""
MIO,keras,14,0,""
MIO,keras,15,0,""
MIO,keras,16,0,""
MIO,keras,17,0,""
MIO,keras,18,0,""
MIO,keras,19,0,""
MIO,keras,2,0,""
MIO,keras,20,0,""
MIO,keras,21,0,""
MIO,keras,22,0,""
MIO,keras,23,0,""
MIO,keras,24,0,""
MIO,keras,25,0,""
MIO,keras,26,0,""
MIO,keras,27,0,""
MIO,keras,28,0,""
MIO,keras,29,0,""
MIO,keras,3,0,""
MIO,keras,30,0,""
MIO,keras,31,0,""
MIO,keras,32,0,""
MIO,keras,33,0,""
MIO,keras,34,0,""
MIO,keras,35,0,""
MIO,keras,36,0,""
MIO,keras,37,0,""
MIO,keras,38,0,""
MIO,keras,39,0,""
MIO,keras,4,0,""
MIO,keras,40,0,""
MIO,keras,41,0,""
MIO,keras,42,0,""
MIO,keras,43,0,""
MIO,keras,44,0,""
MIO,keras,45,0,""
MIO,keras,5,0,""
MIO,keras,6,0,""
MIO,keras,7,0,""
MIO,keras,8,0,""
MIO,keras,9,0,""
MIO,luigi,1,0,""
MIO,luigi,10,0,""
MIO,luigi,11,0,""
MIO,luigi,12,0,""
MIO,luigi,13,0,""
MIO,luigi,14,0,""
MIO,luigi,15,0,""
MIO,luigi,16,0,""
MIO,luigi,17,0,""
MIO,luigi,18,0,""
MIO,luigi,19,0,""
MIO,luigi,2,0,""
MIO,luigi,20,0,""
MIO,luigi,21,0,""
MIO,luigi,22,0,""
MIO,luigi,23,0,""
MIO,luigi,24,0,""
MIO,luigi,25,0,""
MIO,luigi,26,0,""
MIO,luigi,27,0,""
MIO,luigi,28,0,""
MIO,luigi,29,0,""
MIO,luigi,3,0,""
MIO,luigi,30,0,""
MIO,luigi,31,0,""
MIO,luigi,32,0,""
MIO,luigi,33,0,""
MIO,luigi,4,0,""
MIO,luigi,5,0,""
MIO,luigi,6,0,""
MIO,luigi,7,0,""
MIO,luigi,8,0,""
MIO,luigi,9,0,""
MIO,matplotlib,1,0,""
MIO,matplotlib,10,0,""
MIO,matplotlib,11,0,""
MIO,matplotlib,12,0,""
MIO,matplotlib,13,0,""
MIO,matplotlib,14,0,""
MIO,matplotlib,15,0,""
MIO,matplotlib,16,0,""
MIO,matplotlib,17,0,""
