algorithm,project,bug,detected,check_tests
RANDOM,ansible,1,0,""
RANDOM,ansible,10,0,""
RANDOM,ansible,11,0,""
RANDOM,ansible,12,0,""
RANDOM,ansible,13,0,""
RANDOM,ansible,14,0,""
RANDOM,ansible,15,0,""
RANDOM,ansible,16,0,""
RANDOM,ansible,17,0,""
RANDOM,ansible,18,0,""
RANDOM,ansible,2,0,""
RANDOM,ansible,3,0,""
RANDOM,ansible,4,0,""
RANDOM,ansible,5,0,""
RANDOM,ansible,6,0,""
RANDOM,ansible,7,0,""
RANDOM,ansible,8,0,""
RANDOM,ansible,9,0,""
RANDOM,black,1,0,""
RANDOM,black,10,0,""
RANDOM,black,11,0,""
RANDOM,black,12,0,""
RANDOM,black,13,0,""
RANDOM,black,14,0,""
RANDOM,black,15,0,""
RANDOM,black,16,0,""
RANDOM,black,17,0,""
RANDOM,black,18,0,""
RANDOM,black,19,0,""
RANDOM,black,2,0,""
RANDOM,black,20,0,""
RANDOM,black,21,0,""
RANDOM,black,22,0,""
RANDOM,black,23,0,""
RANDOM,black,3,0,""
RANDOM,black,4,0,""
RANDOM,black,5,0,""
RANDOM,black,6,0,""
RANDOM,black,7,0,""
RANDOM,black,8,0,""
RANDOM,black,9,0,""
RANDOM,cookiecutter,1,0,""
RANDOM,cookiecutter,2,0,""
RANDOM,cookiecutter,3,0,""
RANDOM,cookiecutter,4,?," test_exceptions.py"
RANDOM,fastapi,1,?," test_utils.py"
RANDOM,fastapi,10,0,""
RANDOM,fastapi,11,?," test_utils.py"
RANDOM,fastapi,12,0,""
RANDOM,fastapi,13,0,""
RANDOM,fastapi,14,0,""
RANDOM,fastapi,15,0,""
RANDOM,fastapi,16,0,""
RANDOM,fastapi,2,0,""
RANDOM,fastapi,3,0,""
RANDOM,fastapi,4,?," test_utils.py"
RANDOM,fastapi,5,?," test_utils.py"
RANDOM,fastapi,6,?," test_utils.py"
RANDOM,fastapi,7,0,""
RANDOM,fastapi,8,0,""
RANDOM,fastapi,9,?," test_utils.py"
RANDOM,httpie,1,0,""
RANDOM,httpie,2,0,""
RANDOM,httpie,3,0,""
RANDOM,httpie,4,0,""
RANDOM,httpie,5,0,""
RANDOM,keras,1,0,""
RANDOM,keras,10,0,""
RANDOM,keras,11,0,""
RANDOM,keras,12,0,""
RANDOM,keras,13,0,""
RANDOM,keras,14,0,""
RANDOM,keras,15,0,""
RANDOM,keras,16,0,""
RANDOM,keras,17,0,""
RANDOM,keras,18,0,""
RANDOM,keras,19,0,""
RANDOM,keras,2,0,""
RANDOM,keras,20,0,""
RANDOM,keras,21,0,""
RANDOM,keras,22,0,""
RANDOM,keras,23,0,""
RANDOM,keras,24,0,""
RANDOM,keras,25,0,""
RANDOM,keras,26,0,""
RANDOM,keras,27,0,""
RANDOM,keras,28,0,""
RANDOM,keras,29,0,""
RANDOM,keras,3,0,""
RANDOM,keras,30,0,""
RANDOM,keras,31,0,""
RANDOM,keras,32,0,""
RANDOM,keras,33,0,""
RANDOM,keras,34,0,""
RANDOM,keras,35,0,""
RANDOM,keras,36,0,""
RANDOM,keras,37,0,""
RANDOM,keras,38,0,""
RANDOM,keras,39,0,""
RANDOM,keras,4,0,""
RANDOM,keras,40,0,""
RANDOM,keras,41,0,""
RANDOM,keras,42,0,""
RANDOM,keras,43,0,""
RANDOM,keras,44,0,""
RANDOM,keras,45,0,""
RANDOM,keras,5,0,""
RANDOM,keras,6,0,""
RANDOM,keras,7,0,""
RANDOM,keras,8,0,""
RANDOM,keras,9,0,""
RANDOM,luigi,1,0,""
RANDOM,luigi,10,0,""
RANDOM,luigi,11,0,""
RANDOM,luigi,12,0,""
RANDOM,luigi,13,0,""
RANDOM,luigi,14,0,""
RANDOM,luigi,15,0,""
RANDOM,luigi,16,0,""
RANDOM,luigi,17,0,""
RANDOM,luigi,18,0,""
RANDOM,luigi,19,0,""
RANDOM,luigi,2,0,""
RANDOM,luigi,20,0,""
RANDOM,luigi,21,0,""
RANDOM,luigi,22,0,""
RANDOM,luigi,23,0,""
RANDOM,luigi,24,0,""
RANDOM,luigi,25,0,""
RANDOM,luigi,26,0,""
RANDOM,luigi,27,0,""
RANDOM,luigi,28,0,""
RANDOM,luigi,29,0,""
RANDOM,luigi,3,0,""
RANDOM,luigi,30,0,""
RANDOM,luigi,31,0,""
RANDOM,luigi,32,0,""
RANDOM,luigi,33,0,""
RANDOM,luigi,4,0,""
RANDOM,luigi,5,0,""
RANDOM,luigi,6,0,""
RANDOM,luigi,7,0,""
RANDOM,luigi,8,0,""
RANDOM,luigi,9,0,""
RANDOM,matplotlib,1,0,""
RANDOM,matplotlib,10,0,""
RANDOM,matplotlib,11,0,""
RANDOM,matplotlib,12,0,""
RANDOM,matplotlib,13,0,""
RANDOM,matplotlib,14,0,""
RANDOM,matplotlib,15,0,""
RANDOM,matplotlib,16,0,""
RANDOM,matplotlib,17,0,""
RANDOM,matplotlib,18,0,""
RANDOM,matplotlib,19,0,""
RANDOM,matplotlib,2,0,""
RANDOM,matplotlib,20,0,""
RANDOM,matplotlib,21,0,""
RANDOM,matplotlib,22,0,""
RANDOM,matplotlib,23,0,""
RANDOM,matplotlib,24,0,""
RANDOM,matplotlib,25,0,""
RANDOM,matplotlib,26,0,""
RANDOM,matplotlib,27,0,""
RANDOM,matplotlib,28,0,""
RANDOM,matplotlib,29,0,""
RANDOM,matplotlib,3,0,""
RANDOM,matplotlib,30,0,""
RANDOM,matplotlib,4,0,""
RANDOM,matplotlib,5,0,""
RANDOM,matplotlib,6,0,""
RANDOM,matplotlib,7,0,""
RANDOM,matplotlib,8,0,""
RANDOM,matplotlib,9,0,""
RANDOM,pandas,1,0,""
RANDOM,pandas,10,0,""
RANDOM,pandas,100,0,""
RANDOM,pandas,101,0,""
RANDOM,pandas,102,0,""
RANDOM,pandas,103,0,""
RANDOM,pandas,104,0,""
RANDOM,pandas,105,0,""
RANDOM,pandas,106,0,""
RANDOM,pandas,107,0,""
RANDOM,pandas,108,0,""
RANDOM,pandas,109,0,""
RANDOM,pandas,11,0,""
RANDOM,pandas,110,0,""
RANDOM,pandas,111,0,""
RANDOM,pandas,112,0,""
RANDOM,pandas,113,0,""
RANDOM,pandas,114,0,""
RANDOM,pandas,115,0,""
RANDOM,pandas,116,0,""
RANDOM,pandas,117,0,""
RANDOM,pandas,118,0,""
RANDOM,pandas,119,0,""
RANDOM,pandas,12,0,""
RANDOM,pandas,120,0,""
RANDOM,pandas,121,0,""
RANDOM,pandas,122,0,""
RANDOM,pandas,123,0,""
RANDOM,pandas,124,0,""
RANDOM,pandas,125,0,""
RANDOM,pandas,126,0,""
RANDOM,pandas,127,0,""
RANDOM,pandas,128,0,""
RANDOM,pandas,129,0,""
RANDOM,pandas,13,0,""
RANDOM,pandas,130,0,""
RANDOM,pandas,131,0,""
RANDOM,pandas,132,0,""
RANDOM,pandas,133,0,""
RANDOM,pandas,134,0,""
RANDOM,pandas,135,0,""
RANDOM,pandas,136,0,""
RANDOM,pandas,137,0,""
RANDOM,pandas,138,0,""
RANDOM,pandas,139,0,""
RANDOM,pandas,14,0,""
RANDOM,pandas,140,0,""
RANDOM,pandas,141,0,""
RANDOM,pandas,142,0,""
RANDOM,pandas,143,0,""
RANDOM,pandas,144,0,""
RANDOM,pandas,145,0,""
RANDOM,pandas,146,0,""
RANDOM,pandas,147,0,""
RANDOM,pandas,148,0,""
RANDOM,pandas,149,0,""
RANDOM,pandas,15,0,""
RANDOM,pandas,150,0,""
RANDOM,pandas,151,0,""
RANDOM,pandas,152,0,""
RANDOM,pandas,153,0,""
RANDOM,pandas,154,0,""
RANDOM,pandas,155,0,""
RANDOM,pandas,156,0,""
RANDOM,pandas,157,0,""
RANDOM,pandas,158,0,""
RANDOM,pandas,159,0,""
RANDOM,pandas,16,0,""
RANDOM,pandas,160,0,""
RANDOM,pandas,161,0,""
RANDOM,pandas,162,0,""
RANDOM,pandas,163,0,""
RANDOM,pandas,164,0,""
RANDOM,pandas,165,0,""
RANDOM,pandas,166,0,""
RANDOM,pandas,167,0,""
RANDOM,pandas,168,0,""
RANDOM,pandas,169,0,""
RANDOM,pandas,17,0,""
RANDOM,pandas,18,0,""
RANDOM,pandas,19,0,""
RANDOM,pandas,2,0,""
RANDOM,pandas,20,0,""
RANDOM,pandas,21,0,""
RANDOM,pandas,22,0,""
RANDOM,pandas,23,0,""
RANDOM,pandas,24,0,""
RANDOM,pandas,25,0,""
RANDOM,pandas,26,0,""
RANDOM,pandas,27,0,""
RANDOM,pandas,28,0,""
RANDOM,pandas,29,0,""
RANDOM,pandas,3,0,""
RANDOM,pandas,30,0,""
RANDOM,pandas,31,0,""
RANDOM,pandas,32,0,""
RANDOM,pandas,33,0,""
RANDOM,pandas,34,0,""
RANDOM,pandas,35,0,""
RANDOM,pandas,36,0,""
RANDOM,pandas,37,0,""
RANDOM,pandas,38,0,""
RANDOM,pandas,39,0,""
RANDOM,pandas,4,0,""
RANDOM,pandas,40,0,""
RANDOM,pandas,41,0,""
RANDOM,pandas,42,0,""
RANDOM,pandas,43,0,""
RANDOM,pandas,44,0,""
RANDOM,pandas,45,0,""
RANDOM,pandas,46,0,""
RANDOM,pandas,47,0,""
RANDOM,pandas,48,0,""
RANDOM,pandas,49,0,""
RANDOM,pandas,5,0,""
RANDOM,pandas,50,0,""
RANDOM,pandas,51,0,""
RANDOM,pandas,52,0,""
RANDOM,pandas,53,0,""
RANDOM,pandas,54,0,""
RANDOM,pandas,55,0,""
RANDOM,pandas,56,0,""
RANDOM,pandas,57,0,""
RANDOM,pandas,58,0,""
RANDOM,pandas,59,0,""
RANDOM,pandas,6,0,""
RANDOM,pandas,60,0,""
RANDOM,pandas,61,0,""
RANDOM,pandas,62,0,""
RANDOM,pandas,63,0,""
RANDOM,pandas,64,0,""
RANDOM,pandas,65,0,""
RANDOM,pandas,66,0,""
RANDOM,pandas,67,0,""
RANDOM,pandas,68,0,""
RANDOM,pandas,69,0,""
RANDOM,pandas,7,0,""
RANDOM,pandas,70,0,""
RANDOM,pandas,71,0,""
RANDOM,pandas,72,0,""
RANDOM,pandas,73,0,""
RANDOM,pandas,74,0,""
RANDOM,pandas,75,0,""
RANDOM,pandas,76,0,""
RANDOM,pandas,77,0,""
RANDOM,pandas,78,0,""
RANDOM,pandas,79,0,""
RANDOM,pandas,8,0,""
RANDOM,pandas,80,0,""
RANDOM,pandas,81,0,""
RANDOM,pandas,82,0,""
RANDOM,pandas,83,0,""
RANDOM,pandas,84,0,""
RANDOM,pandas,85,0,""
RANDOM,pandas,86,0,""
RANDOM,pandas,87,0,""
RANDOM,pandas,88,0,""
RANDOM,pandas,89,0,""
RANDOM,pandas,9,0,""
RANDOM,pandas,90,0,""
RANDOM,pandas,91,0,""
RANDOM,pandas,92,0,""
RANDOM,pandas,93,0,""
RANDOM,pandas,94,0,""
RANDOM,pandas,95,0,""
RANDOM,pandas,96,0,""
RANDOM,pandas,97,0,""
RANDOM,pandas,98,0,""
RANDOM,pandas,99,0,""
RANDOM,pysnooper,1,?," test_utils.py"
RANDOM,pysnooper,2,0,""
RANDOM,pysnooper,3,0,""
RANDOM,sanic,1,0,""
RANDOM,sanic,2,0,""
RANDOM,sanic,3,0,""
RANDOM,sanic,4,0,""
RANDOM,sanic,5,0,""
RANDOM,scrapy,1,0,""
RANDOM,scrapy,10,0,""
RANDOM,scrapy,11,0,""
RANDOM,scrapy,12,0,""
RANDOM,scrapy,13,0,""
RANDOM,scrapy,14,0,""
RANDOM,scrapy,15,0,""
RANDOM,scrapy,16,0,""
RANDOM,scrapy,17,0,""
RANDOM,scrapy,18,0,""
RANDOM,scrapy,19,0,""
RANDOM,scrapy,2,0,""
RANDOM,scrapy,20,0,""
RANDOM,scrapy,21,0,""
RANDOM,scrapy,22,0,""
RANDOM,scrapy,23,0,""
RANDOM,scrapy,24,0,""
RANDOM,scrapy,25,0,""
RANDOM,scrapy,26,0,""
RANDOM,scrapy,27,0,""
RANDOM,scrapy,28,0,""
RANDOM,scrapy,29,0,""
RANDOM,scrapy,3,0,""
RANDOM,scrapy,30,0,""
RANDOM,scrapy,31,0,""
RANDOM,scrapy,32,0,""
RANDOM,scrapy,33,?," test_engine.py"
RANDOM,scrapy,34,0,""
RANDOM,scrapy,35,0,""
RANDOM,scrapy,36,0,""
RANDOM,scrapy,37,0,""
RANDOM,scrapy,38,0,""
RANDOM,scrapy,39,0,""
RANDOM,scrapy,4,0,""
RANDOM,scrapy,40,0,""
RANDOM,scrapy,5,0,""
RANDOM,scrapy,6,0,""
RANDOM,scrapy,7,0,""
RANDOM,scrapy,8,0,""
RANDOM,scrapy,9,0,""
RANDOM,spacy,1,0,""
RANDOM,spacy,10,0,""
RANDOM,spacy,2,0,""
RANDOM,spacy,3,0,""
RANDOM,spacy,4,0,""
RANDOM,spacy,5,0,""
RANDOM,spacy,6,0,""
RANDOM,spacy,7,0,""
RANDOM,spacy,8,0,""
RANDOM,spacy,9,0,""
RANDOM,thefuck,1,?," test_pip_unknown_command.py"
RANDOM,thefuck,10,?," test_man.py"
RANDOM,thefuck,11,?," test_git_push.py"
RANDOM,thefuck,12,0,""
RANDOM,thefuck,13,0,""
RANDOM,thefuck,14,0,""
RANDOM,thefuck,15,0,""
RANDOM,thefuck,16,0,""
RANDOM,thefuck,17,0,""
RANDOM,thefuck,18,?," test_sudo.py"
RANDOM,thefuck,19,0,""
RANDOM,thefuck,2,0,""
RANDOM,thefuck,20,0,""
RANDOM,thefuck,21,0,""
RANDOM,thefuck,22,0,""
RANDOM,thefuck,23,0,""
RANDOM,thefuck,24,0,""
RANDOM,thefuck,25,0,""
RANDOM,thefuck,26,0,""
RANDOM,thefuck,27,?," test_open.py"
RANDOM,thefuck,28,0,""
RANDOM,thefuck,29,0,""
RANDOM,thefuck,3,0,""
RANDOM,thefuck,30,0,""
RANDOM,thefuck,31,?," test_git_diff_staged.py test_git_diff_staged.py test_git_diff_staged.py"
RANDOM,thefuck,32,?," test_ls_lah.py"
RANDOM,thefuck,4,0,""
RANDOM,thefuck,5,?," test_git_push.py"
RANDOM,thefuck,6,0,""
RANDOM,thefuck,7,0,""
RANDOM,thefuck,8,0,""
RANDOM,thefuck,9,?," test_git_push.py"
RANDOM,tornado,1,0,""
RANDOM,tornado,10,0,""
RANDOM,tornado,11,0,""
RANDOM,tornado,12,0,""
RANDOM,tornado,13,0,""
RANDOM,tornado,14,0,""
RANDOM,tornado,15,0,""
RANDOM,tornado,16,0,""
RANDOM,tornado,2,0,""
RANDOM,tornado,3,0,""
RANDOM,tornado,4,0,""
RANDOM,tornado,5,0,""
RANDOM,tornado,6,0,""
RANDOM,tornado,7,0,""
RANDOM,tornado,8,0,""
RANDOM,tornado,9,0,""
RANDOM,tqdm,1,0,""
RANDOM,tqdm,2,0,""
RANDOM,tqdm,3,0,""
RANDOM,tqdm,4,0,""
RANDOM,tqdm,5,0,""
RANDOM,tqdm,6,0,""
RANDOM,tqdm,7,0,""
RANDOM,tqdm,8,0,""
RANDOM,tqdm,9,0,""
RANDOM,youtube-dl,1,0,""
RANDOM,youtube-dl,10,0,""
RANDOM,youtube-dl,11,0,""
RANDOM,youtube-dl,12,0,""
RANDOM,youtube-dl,13,0,""
RANDOM,youtube-dl,14,0,""
RANDOM,youtube-dl,15,0,""
RANDOM,youtube-dl,16,0,""
RANDOM,youtube-dl,17,0,""
RANDOM,youtube-dl,18,0,""
RANDOM,youtube-dl,19,0,""
RANDOM,youtube-dl,2,0,""
RANDOM,youtube-dl,20,0,""
RANDOM,youtube-dl,21,0,""
RANDOM,youtube-dl,22,0,""
RANDOM,youtube-dl,23,0,""
RANDOM,youtube-dl,24,0,""
RANDOM,youtube-dl,25,0,""
RANDOM,youtube-dl,26,0,""
RANDOM,youtube-dl,27,0,""
RANDOM,youtube-dl,28,0,""
RANDOM,youtube-dl,29,0,""
RANDOM,youtube-dl,3,0,""
RANDOM,youtube-dl,30,0,""
RANDOM,youtube-dl,31,0,""
RANDOM,youtube-dl,32,0,""
RANDOM,youtube-dl,33,0,""
RANDOM,youtube-dl,34,0,""
RANDOM,youtube-dl,35,0,""
RANDOM,youtube-dl,36,0,""
RANDOM,youtube-dl,37,0,""
RANDOM,youtube-dl,38,0,""
RANDOM,youtube-dl,39,0,""
RANDOM,youtube-dl,4,0,""
RANDOM,youtube-dl,40,0,""
RANDOM,youtube-dl,41,0,""
RANDOM,youtube-dl,42,0,""
RANDOM,youtube-dl,43,0,""
RANDOM,youtube-dl,5,0,""
RANDOM,youtube-dl,6,0,""
RANDOM,youtube-dl,7,0,""
RANDOM,youtube-dl,8,0,""
RANDOM,youtube-dl,9,0,""
