algorithm,project,bug,detected,check_tests
WHOLE_SUITE,ansible,1,0,""
WHOLE_SUITE,ansible,10,0,""
WHOLE_SUITE,ansible,11,0,""
WHOLE_SUITE,ansible,12,0,""
WHOLE_SUITE,ansible,13,0,""
WHOLE_SUITE,ansible,14,0,""
WHOLE_SUITE,ansible,15,0,""
WHOLE_SUITE,ansible,16,0,""
WHOLE_SUITE,ansible,17,0,""
WHOLE_SUITE,ansible,18,0,""
WHOLE_SUITE,ansible,2,0,""
WHOLE_SUITE,ansible,3,0,""
WHOLE_SUITE,ansible,4,0,""
WHOLE_SUITE,ansible,5,0,""
WHOLE_SUITE,ansible,6,0,""
WHOLE_SUITE,ansible,7,0,""
WHOLE_SUITE,ansible,8,0,""
WHOLE_SUITE,ansible,9,0,""
WHOLE_SUITE,black,1,0,""
WHOLE_SUITE,black,10,0,""
WHOLE_SUITE,black,11,0,""
WHOLE_SUITE,black,12,0,""
WHOLE_SUITE,black,13,0,""
WHOLE_SUITE,black,14,0,""
WHOLE_SUITE,black,15,0,""
WHOLE_SUITE,black,16,0,""
WHOLE_SUITE,black,17,0,""
WHOLE_SUITE,black,18,0,""
WHOLE_SUITE,black,19,0,""
WHOLE_SUITE,black,2,0,""
WHOLE_SUITE,black,20,0,""
WHOLE_SUITE,black,21,0,""
WHOLE_SUITE,black,22,0,""
WHOLE_SUITE,black,23,0,""
WHOLE_SUITE,black,3,0,""
WHOLE_SUITE,black,4,0,""
WHOLE_SUITE,black,5,0,""
WHOLE_SUITE,black,6,0,""
WHOLE_SUITE,black,7,0,""
WHOLE_SUITE,black,8,0,""
WHOLE_SUITE,black,9,0,""
WHOLE_SUITE,cookiecutter,1,0,""
WHOLE_SUITE,cookiecutter,2,0,""
WHOLE_SUITE,cookiecutter,3,0,""
WHOLE_SUITE,cookiecutter,4,0,""
WHOLE_SUITE,fastapi,1,?," test_utils.py"
WHOLE_SUITE,fastapi,10,0,""
WHOLE_SUITE,fastapi,11,?," test_utils.py"
WHOLE_SUITE,fastapi,12,0,""
WHOLE_SUITE,fastapi,13,0,""
WHOLE_SUITE,fastapi,14,0,""
WHOLE_SUITE,fastapi,15,0,""
WHOLE_SUITE,fastapi,16,0,""
WHOLE_SUITE,fastapi,2,0,""
WHOLE_SUITE,fastapi,3,0,""
WHOLE_SUITE,fastapi,4,?," test_utils.py"
WHOLE_SUITE,fastapi,5,?," test_utils.py"
WHOLE_SUITE,fastapi,6,?," test_utils.py"
WHOLE_SUITE,fastapi,7,0,""
WHOLE_SUITE,fastapi,8,0,""
WHOLE_SUITE,fastapi,9,?," test_utils.py"
WHOLE_SUITE,httpie,1,0,""
WHOLE_SUITE,httpie,2,0,""
WHOLE_SUITE,httpie,3,0,""
WHOLE_SUITE,httpie,4,0,""
WHOLE_SUITE,httpie,5,0,""
WHOLE_SUITE,keras,1,0,""
WHOLE_SUITE,keras,10,0,""
WHOLE_SUITE,keras,11,0,""
WHOLE_SUITE,keras,12,0,""
WHOLE_SUITE,keras,13,0,""
WHOLE_SUITE,keras,14,0,""
WHOLE_SUITE,keras,15,0,""
WHOLE_SUITE,keras,16,0,""
WHOLE_SUITE,keras,17,0,""
WHOLE_SUITE,keras,18,0,""
WHOLE_SUITE,keras,19,0,""
WHOLE_SUITE,keras,2,0,""
WHOLE_SUITE,keras,20,0,""
WHOLE_SUITE,keras,21,0,""
WHOLE_SUITE,keras,22,0,""
WHOLE_SUITE,keras,23,0,""
WHOLE_SUITE,keras,24,0,""
WHOLE_SUITE,keras,25,0,""
WHOLE_SUITE,keras,26,0,""
WHOLE_SUITE,keras,27,0,""
WHOLE_SUITE,keras,28,0,""
WHOLE_SUITE,keras,29,0,""
